question,sql,explanation
Orders per customer,"SELECT c.""customerNumber"", c.""customerName"", COUNT(o.""orderNumber"") AS order_count
FROM customers c
LEFT JOIN orders o ON o.""customerNumber"" = c.""customerNumber""
GROUP BY c.""customerNumber"", c.""customerName""
ORDER BY order_count DESC, c.""customerName"";","Left joins customers to orders, groups by customer, and counts orders."
Max MSRP per product line,"SELECT ""productLine"", MAX(""MSRP"") AS max_msrp
FROM products
GROUP BY ""productLine""
ORDER BY max_msrp DESC, ""productLine"";",Groups products by productLine and returns the maximum MSRP in each group.
Min buy price per vendor,"SELECT ""productVendor"", MIN(""buyPrice"") AS min_buy_price
FROM products
GROUP BY ""productVendor""
ORDER BY min_buy_price, ""productVendor"";",Groups products by vendor and returns the minimum buyPrice in each group.
Total number of customers,"SELECT COUNT(*) AS total_customers
FROM customers;",Counts every row in customers.
Total number of products,"SELECT COUNT(*) AS total_products
FROM products;",Counts every row in products.
Total revenue from payments,"SELECT SUM(""amount"") AS total_revenue
FROM payments;",Sums the amount column across all payments.
Average product price,"SELECT ROUND(AVG(""buyPrice""), 2) AS average_product_price
FROM products;",Calculates the average buyPrice for all products.
Max payment amount,"SELECT MAX(""amount"") AS max_payment_amount
FROM payments;",Returns the largest payment amount.
Min payment amount,"SELECT MIN(""amount"") AS min_payment_amount
FROM payments;",Returns the smallest payment amount.
Count total orders,"SELECT COUNT(*) AS total_orders
FROM orders;",Counts every row in orders.
Total quantity in stock,"SELECT SUM(""quantityInStock"") AS total_quantity_in_stock
FROM products;",Sums the quantityInStock column across all products.
Average MSRP,"SELECT ROUND(AVG(""MSRP""), 2) AS average_msrp
FROM products;",Calculates the average MSRP across all products.
Number of employees,"SELECT COUNT(*) AS total_employees
FROM employees;",Counts every row in employees.
